Title,Date,End,Description,Media,Place,Location,Location_Original,Source,Source URL
opening of Pins and Needles at ILGWU Labor Stage,27/11/1937,,"<p>On November 27, 1937, the International Ladies Garment Workers Union (ILGWU) debuted its play “Pins and Needles,” which would become the longest running musical of the 1930s. This cultural form of labor feminism at a time when organized labor was dominated by male workers is a vital and important moment both in the cultural history of work but also in the history of women and work. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2016/11/this-day-in-labor-history-november-27-1937"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2016/11/r-ScabsunfairPlayPerformanc.jpeg,,#N/A,,,
Darr Mine fire in Pennsylvania kills 239 workers,19/12/1907,,"<p>On December 19, 1907, the Darr Mine near Smithton, Pennsylvania, caught fire and exploded. 239 people died, many of them children. This was the largest workplace disaster in Pennsylvania history. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2016/12/this-day-in-labor-history-december-19-1907"">Read whole article</a></p>",,,#N/A,,,
Emma Goldman deported,21/12/1919,,"<p>On December 21, 1919, the anarchist Emma Goldman was deported from the United States to the Soviet Union as part of the larger crackdown against radicals under the Alien Act and other World War I laws that sought to suppress dissent. This shameful moment in American history is both an excellent time to examine Goldman’s life and to remember the historical suppression of free speech during a period where attacks on the free speech of leftists are rising again. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2016/12/this-day-in-labor-history-december-21-1919"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2016/12/220px-Emma_Goldman_seated.jpeg,,#N/A,,,
"Hurricane Creek Mine Disaster kills 38 miners near Hyden, Kentucky ",30/12/1970,,"<p>On December 30, 1970, a coal mine exploded on Hurricane Creek, near Hyden, Kentucky. Thirty-eight miners died that day, yet another example of the terrible safety conditions of coal mining, even at a late date. This was the worst mining disaster in the United States in two years. That this happened after major federal legislation to prevent these accidents and in the face of indifferent or even hostile union leadership to fixing these problems fed into the larger democratic unionism roiling the United Mine Workers and many other unions during the 1970s. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2016/12/this-day-in-labor-history-december-30-1970"">Read whole article</a></p>",,,#N/A,,,
"Carl Mackley Homes, housing development created by the Hosiery Workers’ Union, opens in Philadelphia",01/01/1935,,"<p>On January 1, 1935, the Carl Mackley Houses opened in Philadelphia. Built in conjunction with the Hosiery Workers Union, this project represents one of several attempts during the New Deal era to create workers’ housing complexes that combined ideas of solidarity with modern architecture and a futuristic idea about where the working class was headed.  </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2017/01/this-day-in-labor-history-january-1-1935"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2016/12/mackley1936.jpeg,,#N/A,,,
Oral arguments before SCOTUS conclude in Moyer v. Peabody that state National Guard can imprison citizens without habeas corpus,06/01/1909,,"<p>On January 6, 1909, oral arguments before the Supreme Court concluded in the case of <em>Moyer</em> v. <em>Peabody</em>. The decision by the Court on January 18 gave official approval for the state militia or National Guard imprisoning people without the benefit of habeas corpus during a time of insurrection, the definition of which was of course left vague. This was one of many anti-worker Supreme Court decisions of the Gilded Age that made it extremely difficult for unions to operate with any sort of effectiveness. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2017/01/this-day-in-labor-history-january-6-1909"">Read whole article</a></p>",,,#N/A,,,
Oahu Sugar Strike begins,20/01/1920,,"<p>On January 20, 1920, Filipino sugar workers on Oahu, Hawaii, went on strike to demand higher pay. Japanese workers soon joined them and this multiracial strike led to minimal victory for workers and, even rarer, a cross-racial strike with significant solidarity that helped create that victory. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2017/01/this-day-in-labor-history-january-20-1920"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2017/01/Chinese_contract_laborers_on_a_sugar_plantation_in_19th_century_Hawaii.jpeg,,#N/A,,,
Japanese Mexican Labor Association forms,11/02/1903,,"<p>On February 11, 1903, the Japanese-Mexican Labor Association formed to build racial solidarity among workers against sugar beet farmers near Oxnard, California. This was the first major cross-racial, non-white agricultural union in California. The following strike and victory was a sign of the possibilities of cross-racial organizing in the United States, but the aftermath and its eventual defeat a sad story about how white racism within the labor movement has undermined labor organizing in American history. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2017/02/this-day-in-labor-history-february-11-1903"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2017/02/oxnard03.jpeg,,#N/A,,,
Loco Foco rally leads to Flour Riot,13/02/1837,,"<p>On February 13, 1837, the Equal Rights Party, better known as the Loco Focos although that was a pejorative from the city’s Whigs, held a rally in City Hall Park in New York City to protest the high cost of living. This led to the Flour Riot, where workers raided flour mills to gain what they thought what rightfully belonged to them at a much lower price than they paid. This brief moment of labor agitation is a good window into both the problems early 19th century urban workers faced, as well as their nascent labor organizations. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2017/02/this-day-in-labor-history-february-13-1837"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2017/02/SpecieClaws.jpeg,,#N/A,,,
Navajo appeal against livestock reduction program,14/02/1940,,"<p>On February 14, 1940, a group of Navajos named Scott Preston, Julius Begay, Frank Goldtooth, and Judge Many Children wrote a letter of protest to their congressman, John Murdock of Arizona, against the livestock reduction program pressed upon them by Commission of Indian Affairs head John Collier. Noting how the program would radically transform their economy, driving them into greater poverty, they wrote, in part:</p><p><a href=""http://www.lawyersgunsmoneyblog.com/2017/02/this-day-in-labor-history-february-14-1940"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2017/02/2523526_orig.jpeg,,#N/A,,,
Norris-LaGuardia Act passes Senate,01/03/1932,,"<p>On March 1, 1932, the Norris-LaGuardia Act passed the Senate by a 75-5 vote and was signed by President Herbert Hoover a few days later. This critical act outlawing some of the most loathsome tactics used by employers against workers laid the groundwork for the rapid growth of labor rights over the next several years. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2017/03/this-day-in-labor-history-march-1-1932"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2017/03/288px-labor-age-cartoon-jan1930.jpeg,,#N/A,,,
"Tydings-McDuffie Act signed, granting the Philippines independence because Californians were angry that these workers were marrying white women ",24/03/1934,,"<p>On March 24, 1934, President Franklin Delano Roosevelt signed the Tydings-McDuffie Act. Better known as the Philippine Independence Act, Tydings-McDuffie initially sounds like a victory for anti-colonialist forces. However, a look at the history of law demonstrates that it actually came out of the deep anti-Asian racism of the West Coast who saw Asian populations both as competition for white labor and competition for white women. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2017/03/day-labor-history-march-24-1934"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2017/03/farmworkers-at-tomato-harvest-1930.jpeg,,#N/A,,,
Mexican government arrests and imprisons railroad strike leaders,28/03/1959,,"<p>On March 28, 1959, railroad worker union leaders in Mexico that threatened to shut down the nation were arrested. The government crack down, its firing thousands of workers and arrest of many more demonstrates how the PRI government in Mexico would reject militancy in the labor movement and how this once revolutionary government had now entered its own Cold War phase.  </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2017/03/day-labor-history-march-25-1959"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2017/03/3_1958frr_nono.jpeg,,#N/A,,,
Julius and Ethel Rosenberg convicted,29/03/1951,,"<p>On March 29, 1951, Julius and Ethel Rosenberg were convicted of treason for passing classified information to the Soviet Union. A few days later they were sentenced to death. This famous case has of course received a tremendous amount of attention; for this series, it’s useful both as a window into the legacy of the New York-based and largely Jewish radicalism that shaped much of the left in the first half of the twentieth century, as well as to place them in the context of the broader attack on left-wing of the labor movement during these years.</p><p><a href=""http://www.lawyersgunsmoneyblog.com/2017/03/day-labor-history-march-29-1951"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2017/03/B29.jpeg,,#N/A,,,
"Loray Mill Strike in Gastonia, North Carolina begins",01/04/1929,,"<p>On April 1, 1929, textile workers at the Loray Mill in Gastonia, North Carolina went on strike. This strike was brutally suppressed by the mill owners who had moved production to the South precisely to avoid unionism and because they felt they could count on loyal politicians and law enforcement if workers did strike. The workers themselves did not win the strike, but this was a critical moment in the rise of textile worker unionism that would help define labor history in the 1930s. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2017/04/day-labor-history-april-1-1929"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2017/04/Loray-Mill-STRIKE.jpeg,,#N/A,,,
Hershey sit-down strike begins,02/04/1937,,"<p>On April 2, 1937, workers at the Hershey Chocolate Corporation in Hershey, Pennsylvania sat down on the job. Following the lead of the <a href=""http://lawyersgunsmon.wpengine.com/2012/02/this-day-in-labor-history-february-11-1937"">General Motors workers in Flint, Michigan </a>a few months earlier, these workers demanded the company live up to the contract it had recently signed. Unlike that previous struggle however, Hershey would respond with violence, demonstrating the limitations of the tactic. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2017/04/day-labor-history-april-2-1937"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2017/04/1-2-113F-25-ExplorePAHistory-a0k7l1-a_349.jpeg,,#N/A,,,
Florence Kelley begins her work with the National Consumers League,01/05/1899,,"<p>On May 1, 1899, Florence Kelley began her work for the National Consumers’ League. Not only was the Consumers League a critical organization in the fight against child labor, but Kelley established herself and middle-class women more broadly as key allies in the struggle for dignified labor in the United States and made labor feminism a major part of the broader women’s movement. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2017/05/day-labor-history-may-1-1899"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2017/04/NCL.jpeg,,#N/A,,,
Local 1199 begins hospital workers strike in New York,08/05/1959,,"<p>On May 8, 1959, Local 1199, the union of New York hospital workers, went on strike. This action, while not really successful, played a critical role in not only organizing hospital workers and expanding collective bargaining rights, but also in pioneering multi-racial organizing coalitions among service workers who were becoming an increasingly sizable part of the American workforce. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2017/05/day-labor-history-may-8-1959"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2017/05/21.jpeg,,#N/A,,,
Panic of 1837 begins,10/05/1837,,"<p>On May 10, 1837, New York City banks announced they were suspending specie payments. This began the Panic of 1837, the first of the nation’s many major periodic economic collapses that would culminate in the Great Depression nearly a century later. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2017/05/day-labor-history-may-10-1837"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2017/05/The_times_panic_1837.jpeg,,#N/A,,,
Missing title,12/05/1878,,"<p>On May 12, 1878, Catharine Beecher died. This is a moment to discuss the incredible importance of Beecher’s 1841 book <em>Treatise on Domestic Economy</em>, its influence on housework for middle class women, and the general rise of housework as a modern middle class phenomenon that transformed the nation. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2017/05/day-labor-history-may-12-1878"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2017/05/beecher.jpeg,,#N/A,,,
National Industrial Recovery Act introduced into the House,17/05/1933,,"<p>On May 17, 1933, Rep. Robert Houghton, a North Carolina Democrat, introduced H.R. 5755 into the House. This would become the National Industrial Recovery Act, the first comprehensive attempt to fix the economy of the Great Depression through national planning. While deeply flawed, the NIRA not only was a critical early response to the Depression, but it also spurred tremendous labor activism that laid the groundwork for the more comprehensive labor legislation of the decade. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2017/05/day-labor-history-may-17-1933"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2017/05/NewDealNRA.jpeg,,#N/A,,,
Disney cartoonists go on strike,29/05/1941,,"<p>On May 29, 1941, cartoonists at Disney went on strike. This ultimately successful strike was a critical point in the organizing of Hollywood and also marked the end of Disney’s run as an innovative artistic force, so bitter did it make Walt Disney. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2017/05/day-labor-history-may-29-1941"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2017/05/disneystrike_q.jpeg,,#N/A,,,
Slaves executed as part of New York Slave Conspiracy,30/05/1741,,"<p>On May 30, 1741, Quack and Cuffee, two slaves convicted of a conspiracy to burn New York and start a slave rebellion, were burned to death. Part of the New York Slave Conspiracy, the events of the spring of 1741 demonstrated both the racial and class tensions in New York, as well as the dependency of that city upon slavery. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2017/05/day-labor-history-may-30-1741"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2017/05/nyc_slave_execution_1741.jpeg,,#N/A,,,
Civilian Vocational Rehabilitation Act approved by Congress,02/06/1920,,"<p style=""text-align: center;""><strong>One of the thousands who donate their fingers to the Lumber<br/>
Trust. The Trust compensated all with poverty and<br/>
some with bullets on November 5, 1916.</strong></p><p><a href=""http://www.lawyersgunsmoneyblog.com/2017/06/day-labor-history-june-2-1920"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2017/06/i003.jpeg,,#N/A,,,
Teamsters for a Democratic Unionism formed,05/06/1976,,"<p>On June 5, 1976, Teamsters for a Democratic Unionism, the internal democratic union revolt inside the International Brotherhood of Teamsters, was founded. One of the most significant organizations in the democratic union movements of the 1970s, it was also one of the most long-lasting and is still around today, controlling the Rhode Island local among others. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2017/06/day-labor-history-june-5-1976"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2017/06/lg-TDU.jpeg,,#N/A,,,
Steel Workers Organizing Committee formed,07/06/1936,,"<p>On June 7, 1936, the Steel Workers Organizing Committee was created. This pioneering industrial union was critical in the mass organizing of the nation’s giant factories in arguably the nation’s most important industry. It’s eventual success combined with the organizing of auto to allow the CIO to succeed and the transformation of the American labor movement to advance. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2017/06/day-labor-history-june-7-1936"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2017/06/index.jpeg,,#N/A,,,
"Workers at Rodolfo Crespi cotton mill in Sao Paulo demand 25 percent wage increase, refusal leads to Sao Paulo general strike",10/06/1917,,"<p>On June 10, 1917, the São Paulo general strike began when owners at the Rodolfo Crespi cotton mill refused workers’ demands for a 25 percent wage increase. The workers went on strike, leading to a general strike through the city’s textile mills and displaying how rank and file workers often proved much more effective leaders than self-styled radicals. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2017/06/day-labor-history-june-10-1917"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2017/06/São_Paulo_Greve_de_1917.jpeg,,#N/A,,,
Washington Arsenal explosion kills 20 workers,17/06/1864,,"<p>On June 17, 1864, the Washington Arsenal exploded in Washington, D.C, killing around 20 workers. This tragic event highlighted the growing dangers of the American workplace and the indifference to workplace safety that proved deadly again and again in Civil War munitions factories.</p><p><a href=""http://www.lawyersgunsmoneyblog.com/2017/06/day-labor-history-june-17-1864"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2017/06/dc-arsenal-women.png,,#N/A,,,
"Three timber workers killed in Eureka, California during Great Strike of 1935",21/06/1935,,"<p>On June 21, 1935, three members of the Lumber and Sawmill Workers Union were murdered at the Holmes-Eureka Mill in Eureka, California, by anti-union enforcers of the company. This violent moment was the culmination of the Great Strike of 1935 and the organizing of the Northwest’s timber industry. It also serves as a reminder of the great struggles of strikers in these years that included many lives lost, and not just in the handful of famous labor history incidents we remember today. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2017/06/day-labor-history-june-21-1935"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2017/06/news1-3.jpg,,#N/A,,,
"Ralph Gray, communist and leader of Croppers and Farm Workers Union in Tallapoosa County, AL murdered by white mob",16/07/1931,,"<p>On July 16, 1931, a white mob murdered the black sharecropper organizer Ralph Gray in Tallapoosa County, Alabama. This murder demonstrated both the very real communist organizing among black sharecroppers in Alabama and the extent that whites would go to keep control of their rural labor force, eight decades after the Civil War. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2017/07/day-labor-history-july-16-1931"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2017/07/trowbridge2_1.0-fig01_011-1.jpg,,#N/A,,,
Tennessee forces surrender to miners during Coal Creek War to keep convict laborers from competing with miners,20/07/1891,,"<p>On July 20, 1891, militia forces guarding a stockade at a mine near Briceville, Tennessee surrendered to miners during Coal Creek War to keep convict laborers from competing with free miners. This was one of several tense moments in the larger struggle in the post-Reconstruction South by white free laborers to keep the state from using prisoners, many of whom were African-American, from competing with them and the lengths to which the state would go to undermine the ability of workers to make a living. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2017/07/day-labor-history-july-20-1891"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2017/07/TrenchesAnsweringAttackSMALLER.jpg,,#N/A,,,
